stamp_abs,stamp_rel,x,y,z,qx,qy,qz,qw,roll,pitch,yaw,vx,vy,vz
1778503976.053583622,1.702167749,0.003286568,0.003682146,-0.007311128,0.005166737,-0.008677929,-0.004149032,0.999940390,0.010262581,-0.017398576,-0.008209232,-0.001256528,0.011740852,0.001792526
1778503976.168226719,1.816810846,0.003046826,0.001407045,-0.005474150,0.006861886,-0.011077095,-0.005760826,0.999898508,0.013598533,-0.022232833,-0.011371517,-0.005227045,-0.003301486,0.006680456
1778503976.271380663,1.919964790,0.003333211,0.002640677,-0.007560264,0.005033387,-0.012239177,-0.005307479,0.999898344,0.009938986,-0.024531755,-0.010494020,-0.005738869,0.007261750,-0.000393668
1778503976.371378183,2.019962311,0.003995981,0.002485664,-0.009220193,0.004640654,-0.010504574,-0.003804760,0.999926818,0.009202861,-0.021044477,-0.007513201,-0.000225117,0.007743281,-0.004176823
1778503976.471373558,2.119957685,0.003963707,0.004236060,-0.009903703,0.003633191,-0.011625519,-0.003040758,0.999921197,0.007197119,-0.023273402,-0.005998222,-0.002989735,0.017076891,-0.004556739
1778503976.572472572,2.221056700,0.003653635,0.004508816,-0.009453369,0.005151782,-0.012609705,-0.001619863,0.999905911,0.010265192,-0.025236407,-0.003110493,-0.007517698,0.012150107,-0.002469933
1778503976.653694391,2.302278519,0.004808692,0.005293814,-0.010071484,0.005338302,-0.011838671,-0.003792944,0.999908477,0.010588995,-0.023717893,-0.007460965,-0.001726877,0.012918452,-0.003363161
1778503976.771747828,2.420331955,0.005608115,0.006065676,-0.008963136,0.005891832,-0.010183109,-0.003403933,0.999924999,0.011716162,-0.020406218,-0.006688804,0.003150263,0.010149231,0.001720450
1778503976.870476961,2.519061089,0.005960197,0.005170199,-0.007816190,0.007976917,-0.011327133,-0.002946458,0.999899687,0.015890246,-0.022700950,-0.005713117,0.001423181,-0.001560466,0.004260306
1778503976.953593254,2.602177382,0.006769072,0.004318843,-0.008347146,0.007711848,-0.013682823,-0.002224421,0.999874172,0.015367255,-0.027399940,-0.004238845,-0.001613665,-0.005758232,0.001321852
1778503977.053297520,2.701881647,0.005523786,0.003778285,-0.007440852,0.006718134,-0.014077402,-0.005349931,0.999864027,0.013289499,-0.028226607,-0.010513641,-0.011364060,-0.004936081,0.003665013
1778503977.157840014,2.806424141,0.003284744,0.002384053,-0.004479232,0.008158415,-0.013157601,-0.005804331,0.999863304,0.016168199,-0.026409382,-0.011396605,-0.018921332,-0.011992808,0.010778750
1778503977.257607222,2.906191349,0.002324682,0.002287693,-0.003130927,0.005783408,-0.013919012,-0.003527975,0.999880176,0.011471927,-0.027879108,-0.006896842,-0.021140293,-0.005223360,0.012127406
1778503977.361727238,3.010311365,0.002558879,0.003169494,-0.004994765,0.005233132,-0.014256281,-0.002271935,0.999882099,0.010404675,-0.028536852,-0.004395929,-0.017943596,0.001741093,0.005079220
1778503977.472106695,3.120690823,0.002443083,0.003721150,-0.004967050,0.005135530,-0.014511326,-0.004927200,0.999869377,0.010131172,-0.029073565,-0.009708322,-0.017617416,0.005746920,0.004507753
1778503977.571785450,3.220369577,0.002363222,0.005500790,-0.004762407,0.004848992,-0.014980509,-0.003138432,0.999871103,0.009607172,-0.029992089,-0.006133571,-0.017951524,0.012949837,0.004297196
1778503977.669964075,3.318548203,0.002506544,0.007419040,-0.004278251,0.004608734,-0.015617990,-0.002513118,0.999864252,0.009142311,-0.031259996,-0.004884001,-0.018153191,0.018246129,0.004562547
1778503977.766120911,3.414705038,0.002307637,0.007625748,-0.003829229,0.005316068,-0.015398048,-0.000760656,0.999867022,0.010612531,-0.030804959,-0.001358040,-0.017902130,0.012553809,0.004843399
1778503977.872205496,3.520789623,0.000249467,0.007729251,-0.003396801,0.006756979,-0.015934911,-0.002577633,0.999846877,0.013436982,-0.031905188,-0.004941668,-0.026247933,0.005985363,0.004637387
1778503977.963474989,3.612059116,0.000968707,0.005867254,-0.004493539,0.009096622,-0.013206380,-0.002472812,0.999868355,0.018132874,-0.026457359,-0.004706370,-0.014223925,-0.009869353,0.001071230
1778503978.063454866,3.712038994,0.001392674,0.003130750,-0.004432306,0.008790152,-0.014668790,-0.004345592,0.999844326,0.017458516,-0.029413651,-0.008435698,-0.012802372,-0.020909489,0.000894414
1778503978.172174931,3.820759058,0.000217782,0.001648995,-0.005009050,0.008695867,-0.012102037,-0.004190415,0.999880174,0.017294183,-0.024276437,-0.008171848,-0.011005437,-0.022167421,-0.000338912
1778503978.271542072,3.920126200,0.002804534,0.001706880,-0.005468403,0.007026568,-0.011417995,-0.003171602,0.999905094,0.013983491,-0.022880390,-0.006183802,0.003212487,-0.013382820,-0.000817270
1778503978.367736578,4.016320705,0.002939433,0.003368083,-0.004190623,0.005402198,-0.011115598,-0.003516959,0.999917442,0.010728184,-0.022269199,-0.006915009,0.003751310,0.000992723,0.003083303
1778503978.471889973,4.120474100,0.002784075,0.004895953,-0.002999454,0.004822273,-0.012187818,-0.002974831,0.999909672,0.009574158,-0.024404548,-0.005833348,0.000231352,0.009513142,0.005402898
1778503978.571452856,4.220036983,0.003593134,0.007939841,-0.003318860,0.003635121,-0.014602117,-0.002565743,0.999883484,0.007197600,-0.029223643,-0.005026894,-0.001896442,0.023031367,0.003169205
1778503978.669618130,4.318202257,0.003786829,0.009215727,-0.002353771,0.006491384,-0.015395197,-0.002619940,0.999856983,0.012906732,-0.030824886,-0.005041675,-0.006073099,0.016692278,0.004877243
1778503978.769356251,4.417940378,0.003961564,0.007861215,-0.002432339,0.008845690,-0.014468936,-0.003558237,0.999849860,0.017594061,-0.029000543,-0.006862370,-0.005969466,-0.000589303,0.003520838
1778503978.847419024,4.496003151,0.004405902,0.008008362,-0.003804775,0.008728307,-0.016129270,-0.003100359,0.999827011,0.017363518,-0.032312703,-0.005921208,-0.008959967,-0.002413998,-0.000665804
1778503978.939571857,4.588155985,0.005375473,0.007875576,-0.004184253,0.009477507,-0.015451601,-0.003494157,0.999829593,0.018853960,-0.030969119,-0.006697499,-0.006277650,-0.007252668,-0.001280258
1778503979.073494673,4.722078800,0.007173967,0.005596442,-0.004965790,0.011440491,-0.011922138,-0.002775232,0.999859628,0.022820099,-0.023906707,-0.005278428,0.005290325,-0.022599805,-0.002492316
1778503979.158335447,4.806919575,0.005799577,0.006322131,-0.005238263,0.009881407,-0.013253543,-0.005169165,0.999849979,0.019631039,-0.026608406,-0.010078590,-0.003763524,-0.015275360,-0.003119702
1778503979.257683277,4.906267405,0.004513097,0.005334725,-0.006472654,0.008593749,-0.014525493,-0.005934380,0.999839958,0.017020400,-0.029152463,-0.011622404,-0.011365344,-0.015016766,-0.006040323
1778503979.349562883,4.998147011,0.002356955,0.005411566,-0.006507077,0.006274058,-0.015592563,-0.005111243,0.999845680,0.012393154,-0.031249536,-0.010030317,-0.020803971,-0.006018328,-0.004574752
1778503979.470158339,5.118742466,0.001063415,0.006150345,-0.003897040,0.004995867,-0.014751991,-0.003748700,0.999871675,0.009884324,-0.029541948,-0.007352314,-0.020744514,0.003544754,0.004308449
