stamp_abs,stamp_rel,valid,deg,eig_min,cond,axial,lateral,local_length,width,height,global_length,conf,u_pos_count,u_neg_count,v_pos_count,v_neg_count,four_wall_fit_ok,geom_raw_count,geom_filtered_count,intensity_trim_used
1776866016.560266495,1.400163412,1,0,0.267956843,156.128873960,17.334923919,34.332538193,0.693801281,0.260345895,0.231140920,0.535224273,0.606879830,14,13,14,0,0,86,77,1
1776866016.660132885,1.500029802,1,0,0.399449931,149.729145168,29.536322612,49.731838918,0.756569003,0.280704187,0.221995300,0.625028659,0.604819638,13,22,23,0,0,129,116,1
1776866016.760307789,1.600204706,0,0,0.360916486,202.246052311,49.999999955,49.999999955,0.201648920,0.237845063,0.735757854,0.625028659,0.615762715,19,18,14,7,1,150,137,1
1776866016.860174894,1.700071812,1,0,0.253759105,165.371405980,20.404106383,36.297946916,0.570889589,0.282605093,0.206048582,0.625028659,0.570187159,4,20,17,0,0,93,84,1
1776866016.960163355,1.800060272,0,0,0.351519426,166.488703475,45.000000225,45.000000225,0.314635055,0.253013848,0.173106933,0.625028659,0.568469654,10,18,15,6,1,135,121,1
1776866017.060334921,1.900231838,0,0,0.331462033,195.854597770,46.666666910,46.666666910,0.357630810,0.288956887,0.418413780,0.625028659,0.570130559,16,23,16,2,0,140,126,1
1776866017.160272360,2.000169277,0,0,0.312906530,205.812056970,48.000000207,48.000000207,0.284061060,0.411908609,0.905506696,0.625028659,0.598905047,18,26,16,3,0,144,129,1
1776866017.260208130,2.100105047,0,0,0.300157906,193.733852606,47.999999774,47.999999774,0.257125202,0.341798999,0.659829315,0.625028659,0.575422059,16,19,18,1,0,144,132,1
1776866017.360280991,2.200177908,0,0,0.279598200,235.755554285,48.999999964,48.999999964,0.295022146,0.409894397,0.430292812,0.625028659,0.619190002,18,4,26,15,0,147,133,1
1776866017.460222006,2.300118923,1,0,0.308418361,219.927089480,28.585102359,62.207448795,0.444375369,0.249220590,0.354702060,0.625028659,0.616417189,24,20,19,0,0,153,137,1
1776866017.559971809,2.399868727,0,0,0.302485995,211.385652380,46.999999907,46.999999907,0.353300319,0.312390746,0.482473218,0.625028659,0.622211179,22,13,17,0,0,141,127,1
1776866017.660223007,2.500119925,0,0,0.327573193,203.818663265,50.333333520,50.333333520,0.336084614,0.368938324,0.628343964,0.625028659,0.611935551,10,25,16,4,0,151,136,1
1776866017.760288477,2.600185394,0,0,0.238315381,269.995157900,46.333333512,46.333333512,0.292078622,0.211663712,0.595925811,0.625028659,0.669354227,20,17,20,6,1,139,127,1
1776866017.860198975,2.700095892,0,0,0.192311200,253.994433968,30.666666681,30.666666681,0.955716095,0.258801987,0.112524174,0.625028659,0.589343376,10,16,13,1,0,92,82,1
1776866017.960272312,2.800169230,1,0,0.191033862,184.041359523,15.557910509,32.721044732,0.433170855,0.253473448,0.248431696,0.625028659,0.621739791,4,17,9,0,0,81,73,1
1776866018.060229301,2.900126219,0,0,0.216334590,196.762265320,29.666666713,29.666666713,0.271323492,0.348836906,0.792774628,0.625028659,0.586813394,10,14,12,0,0,89,80,1
1776866018.160153151,3.000050068,0,0,0.266030470,183.160781746,34.333333299,34.333333299,0.243102871,0.461266323,0.873250559,0.625028659,0.566882445,18,15,11,4,0,103,92,1
1776866018.260050535,3.099947453,1,0,0.175198083,212.408248725,20.878554975,30.560722601,0.694924405,0.262930285,0.237067149,0.625028659,0.551152764,14,13,13,0,0,82,74,1
1776866018.360210419,3.200107336,1,0,0.207558148,189.400859506,18.769039736,34.615480172,0.575876013,0.266650244,0.332561808,0.625028659,0.564036398,5,22,12,0,0,88,79,1
1776866018.460212231,3.300109148,0,0,0.163789052,237.670873017,27.666666547,27.666666547,0.305913031,0.402194755,0.442070929,0.625028659,0.567538128,7,13,11,3,0,83,74,1
1776866018.560305119,3.400202036,0,0,0.215652793,210.580062084,30.999999757,30.999999757,0.855293115,0.269404356,0.183088960,0.625028659,0.624241783,16,20,13,0,0,93,85,1
1776866018.660148144,3.500045061,0,0,0.331185063,167.986422666,41.666666683,41.666666683,0.890229499,0.296048357,0.143374734,0.625028659,0.495632393,10,24,25,0,0,125,112,1
1776866018.760204077,3.600100994,0,0,0.326081562,170.771067765,42.666666661,42.666666661,0.228754611,0.499199515,0.877543955,0.625028659,0.550729542,9,19,14,5,0,128,115,1
1776866018.860259533,3.700156450,1,0,0.141601139,247.287632139,19.368245219,31.815877192,0.576808262,0.310150069,0.324002417,0.625028659,0.538831205,6,15,13,1,0,83,74,1
1776866018.960258007,3.800154924,1,0,0.219385995,219.724489158,24.987380926,40.506309430,0.649519093,0.289796706,0.277275897,0.625028659,0.576851029,9,19,19,0,0,106,95,1
1776866019.060172796,3.900069714,1,0,0.175054284,217.660564741,17.969689832,33.515155507,0.432257979,0.281283341,0.276114113,0.625028659,0.559680885,10,13,7,0,0,85,76,1
1776866019.160252333,4.000149250,0,0,0.239777630,192.840445822,33.999999977,33.999999977,0.772121936,0.262049270,0.169887554,0.625028659,0.563778803,12,13,16,0,0,102,91,1
1776866019.260206223,4.100103140,1,0,0.132230481,321.689915421,18.402693678,35.798653222,0.483868950,0.353359830,0.313771096,0.625028659,0.589351790,10,17,10,0,0,90,81,1
1776866019.360207796,4.200104713,0,0,0.180349129,217.165999026,30.333333189,30.333333189,0.182000704,0.559887765,0.667324313,0.625028659,0.551617970,11,4,10,10,0,91,83,1
1776866019.460335732,4.300232649,0,0,0.268598687,198.044657928,41.666666337,41.666666337,0.380434254,0.361406669,0.536017077,0.625028659,0.614944147,12,17,16,2,0,125,113,1
1776866019.560246706,4.400143623,0,0,0.364812749,179.150080825,51.333333155,51.333333155,0.369202428,0.548736584,0.553565839,0.625028659,0.568403007,14,25,27,5,0,154,141,1
1776866019.660326004,4.500222921,0,0,0.314997950,208.315274581,51.999999828,51.999999828,0.387538379,0.432000296,0.541238880,0.625028659,0.603296877,6,30,18,2,0,156,140,1
1776866019.760184288,4.600081205,0,0,0.362531618,158.419694526,46.333333198,46.333333198,0.293957702,0.393474172,0.669287200,0.625028659,0.559863819,16,24,18,3,0,139,125,1
1776866019.860209703,4.700106621,1,0,0.335933068,169.158572248,31.462868810,54.768565090,0.504628188,0.397844892,0.309120526,0.625028659,0.530680792,10,29,20,1,0,141,128,1
1776866019.960250616,4.800147533,0,0,0.375406471,174.177292056,51.999999742,51.999999742,0.379257672,0.543393355,0.487625954,0.625028659,0.554639081,2,23,11,26,0,156,142,1
1776866020.060297251,4.900194168,0,0,0.324708881,185.032819407,48.999999998,48.999999998,0.238479303,0.404972784,0.877673814,0.625028659,0.490500649,27,12,3,12,0,147,132,1
1776866020.160279512,5.000176430,0,0,0.258790339,242.192321921,44.000000041,44.000000041,0.299151785,0.485036891,0.806739183,0.625028659,0.622453335,15,22,4,19,0,132,120,1
1776866020.260214329,5.100111246,0,0,0.212445274,189.876380399,33.666666756,33.666666756,0.204193263,0.495822175,0.235635716,0.625028659,0.530952004,7,11,6,10,1,101,91,1
1776866020.360324383,5.200221300,0,0,0.230520853,232.859729035,44.666666504,44.666666504,0.394130022,0.508113843,0.500218620,0.625028659,0.559017880,27,5,9,21,0,134,120,1
1776866020.460286379,5.300183296,1,0,0.302856789,181.912031684,28.204865324,47.897567200,0.525837148,0.302915693,0.295736687,0.625028659,0.542579194,25,11,0,17,0,124,113,1
1776866020.560218811,5.400115728,0,0,0.261679739,163.650870019,33.666666786,33.666666786,0.875873423,0.249559000,0.195578625,0.625028659,0.538886852,13,9,0,20,0,101,91,1
1776866020.660339594,5.500236511,0,0,0.213049069,199.623667418,33.333333244,33.333333244,0.269046970,0.686403027,0.274213960,0.625028659,0.506454848,10,5,13,13,0,100,90,1
1776866020.760238886,5.600135803,1,0,0.224340671,232.431569838,27.957241917,45.521379266,0.515444232,0.315692756,0.294429848,0.625028659,0.532315881,20,11,0,13,0,119,107,1
1776866020.860291004,5.700187922,0,0,0.279433443,221.977337601,46.333333282,46.333333282,0.328204975,0.182302719,0.279497568,0.625028659,0.578785052,14,14,8,23,1,139,125,1
